what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to read /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml: java.io.FileNotFoundException: /Users/dalezak/SandBox/Ushahidi_Android/AndroidManifest.xml (No such file or directory)",1316399395538
error,log,,,"New Project Wizard failed",1316399434073
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399436548
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316399436677
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399444156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399474018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1316399474101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399477898
error,log,,,"New Project Wizard failed",1316399506015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399510748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399516128
error,log,,,"New Project Wizard failed",1316399544533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399566685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399571707
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1316399625048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399654259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399659812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399690498
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316399695371
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1316399696218
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1316399696864
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1316399696927
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1316399697007
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1316399697064
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1316399697110
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1316399697134
stopped,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1316399697170
stopped,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1316399697170
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1316399697211
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1316399697227
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1316399697292
stopped,bundle,org.maven.ide.eclipse.jdt,0.12.1.20110112-1712,"org.maven.ide.eclipse.jdt",1316399697326
stopped,bundle,org.maven.ide.eclipse.refactoring,0.12.1.20110112-1712,"org.maven.ide.eclipse.refactoring",1316399697372
stopped,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1316399697372
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1316399697402
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1316399697419
stopped,bundle,org.maven.ide.eclipse.editor,0.12.1.20110112-1712,"org.maven.ide.eclipse.editor",1316399697451
